eplenmean,eprewmean,fps,loss/approxkl,loss/clipfrac,loss/policy_entropy,loss/policy_loss,loss/value_loss,misc/explained_variance,misc/nupdates,misc/serial_timesteps,misc/time_elapsed,misc/total_timesteps
32.5,0.34688427521165277,0,0.0012503385,0.0078125,5.6831675,-0.006444892,8.31806,-0.018223881721496582,1,64,189.48776310000002,64
37.54,0.3371156480169266,0,0.0014142864,0.01171875,5.684395,-0.0069360263,8.595277,-0.03370857238769531,2,128,369.7439239,128
37.54,0.359840977055228,0,0.00049166393,0.0,5.6866446,0.0008642867,9.406179,-0.02207660675048828,3,192,542.3847925,192
37.54,0.34179192543270953,0,0.00088139507,0.0,5.68848,-0.003545837,6.3336487,-0.01880812644958496,4,256,734.8362175,256
37.54,0.3499744369532035,0,0.001374625,0.00390625,5.692339,0.0011181696,9.3518505,-0.020601868629455566,5,320,912.1002090999999,320
37.54,0.3610809772574475,0,0.0007587397,0.0,5.6962614,-0.005309464,7.2448006,-0.028396129608154297,6,384,1092.8594419,384
37.54,0.32572655328164174,0,0.0015011949,0.00390625,5.696405,-0.0025844264,5.598338,-0.029606103897094727,7,448,1278.4786465,448
37.54,0.3481417881766251,0,0.0017520862,0.0,5.6950293,-0.0025325222,7.955978,-0.016361355781555176,8,512,1452.347541,512
37.54,0.3547939898194909,0,0.00073766673,0.0,5.6937704,0.0007961381,6.3701763,-0.020014166831970215,9,576,1640.5481492000001,576
37.54,0.35198006807785603,0,0.0020150586,0.01171875,5.6926327,-0.013610443,7.04675,-0.02148306369781494,10,640,1821.0111505,640
37.54,0.3347760767414049,0,0.0031804524,0.02734375,5.690326,-0.0131180165,5.817089,0.003975868225097656,11,704,2009.3508718,704
37.54,0.3543284491925297,0,0.0017193146,0.01171875,5.690441,-0.0046251994,6.452456,-0.008573055267333984,12,768,2187.1717320999996,768
37.54,0.350151237507128,0,0.0015921184,0.0,5.6918755,-0.0033047756,6.508794,-0.021711349487304688,13,832,2365.5167761999996,832
37.54,0.35093904179561725,0,0.00047953223,0.0,5.6933312,0.00090212026,6.288714,-0.007072091102600098,14,896,2544.0649943999997,896
37.54,0.35331188806104613,0,0.0018732295,0.0078125,5.6942277,-0.005930635,6.4720616,-0.02080512046813965,15,960,2720.4838676,960
37.54,0.34882147056059276,0,0.0014006257,0.0,5.6942935,0.0098707825,5.8108397,-0.0016585588455200195,16,1024,2898.4468899999997,1024
37.54,0.3220881408182506,0,0.0045462092,0.0625,5.691066,-0.0048817084,4.9881797,-0.006500840187072754,17,1088,3093.4069047999997,1088
37.54,0.32343681914095157,0,0.0015202112,0.0078125,5.688515,-0.008798253,5.6843047,0.0038881897926330566,18,1152,3278.3011417999996,1152
37.54,0.33571349208877344,0,0.0012972633,0.0,5.689513,0.0039932188,5.8480287,-0.007007002830505371,19,1216,3461.0730203999997,1216
37.54,0.342506799449934,0,0.00064141594,0.0,5.692236,-0.00092780497,5.787879,0.0020366311073303223,20,1280,3652.1475705,1280
37.54,0.34017594386687255,0,0.0033750688,0.04296875,5.6945224,-0.018660089,6.2489924,-0.022339940071105957,21,1344,3833.7383863,1344
37.54,0.3405445476462011,0,0.002241413,0.01171875,5.696396,0.0038405992,5.404039,-0.004842281341552734,22,1408,4019.6831751,1408
37.54,0.3506113534466154,0,0.0019119675,0.01171875,5.699212,-0.0016875197,6.504848,-0.0011682510375976562,23,1472,4197.7641316,1472
37.54,0.33819713794970746,0,0.0028600653,0.02734375,5.6985517,-0.005688445,6.170062,-0.003979325294494629,24,1536,4383.630529200001,1536
